Tahun,Bulan,Provinsi,Konsumsi Listrik Rumah Tangga (GWh),Konsumsi Listrik per Kapita (kWh)
2010,2,Provinsi_28,370.14,1059.81
2010,2,Provinsi_29,329.34,1419.05
2010,2,Provinsi_30,250.47,1143.37
2010,2,Provinsi_31,304.98,1149.65
2010,2,Provinsi_32,222.47,1206.86
2010,2,Provinsi_33,246.88,1247.36
2010,2,Provinsi_34,254.03,1354.99
2010,3,Provinsi_1,260.84,1167.79
2010,3,Provinsi_2,340.68,1076.91
2010,3,Provinsi_3,311.37,1330.71
2010,3,Provinsi_4,219.63,1218.46
2010,3,Provinsi_5,312.99,1278.18
2010,3,Provinsi_6,238.15,1067.95
2010,3,Provinsi_7,326.1,1229.7
2010,3,Provinsi_8,312.52,1234.64
2010,3,Provinsi_9,266,1223.23
2010,3,Provinsi_10,314.65,1128.56
2010,3,Provinsi_11,393.29,1247.38
2010,3,Provinsi_12,240.43,1265.66
2010,3,Provinsi_13,251.27,1278.71
2010,3,Provinsi_14,357.93,1117.93
2010,3,Provinsi_15,348.17,1241.28
2010,3,Provinsi_16,341.1,1389.68
2010,3,Provinsi_17,287.73,1124.63
2010,3,Provinsi_18,255.52,1118.42
2010,3,Provinsi_19,296.14,1234.12
2010,3,Provinsi_20,313.83,1282.72
2010,3,Provinsi_21,300.65,1345.35
2010,3,Provinsi_22,286.77,1472.02
2010,3,Provinsi_23,331.28,1114.28
2010,3,Provinsi_24,246.46,1248.25
2010,3,Provinsi_25,288.83,1271.4
2010,3,Provinsi_26,323.66,1192.72
2010,3,Provinsi_27,257.66,1048.52
2010,3,Provinsi_28,277.67,1285.64
2010,3,Provinsi_29,310.7,1075.43
2010,3,Provinsi_30,308.66,1238.53
2010,3,Provinsi_31,255.81,1215.37
2010,3,Provinsi_32,302.91,1085.7
2010,3,Provinsi_33,317.89,1256.08
2010,3,Provinsi_34,354.15,1305.38
2010,4,Provinsi_1,231.12,1106.22
2010,4,Provinsi_2,325.75,1251.38
2010,4,Provinsi_3,325.75,1585.27
2010,4,Provinsi_4,328.54,1313.56
2010,4,Provinsi_5,347.7,1265.14
2010,4,Provinsi_6,284.24,1275.9
2010,4,Provinsi_7,261.36,1176.32
2010,4,Provinsi_8,275.73,1208.19
2010,4,Provinsi_9,415.73,1013.27
2010,4,Provinsi_10,334.31,1038.73
2010,4,Provinsi_11,276.4,1308.9
2010,4,Provinsi_12,303.21,1092.23
2010,4,Provinsi_13,264.23,1267.96
2010,4,Provinsi_14,263.48,1221.65
2010,4,Provinsi_15,302.28,1134.84
2010,4,Provinsi_16,407.2,1263.39
2010,4,Provinsi_17,198.74,1218.65
2010,4,Provinsi_18,266.91,1285.24
2010,4,Provinsi_19,260.37,1188.53
2010,4,Provinsi_20,325.25,1286.58
2010,4,Provinsi_21,239.99,1166.55
2010,4,Provinsi_22,276.25,1134.67
2010,4,Provinsi_23,388.27,1240.5
2010,4,Provinsi_24,236.96,1291.79
2010,4,Provinsi_25,406.11,1303.25
2010,4,Provinsi_26,224.03,1151.58
2010,4,Provinsi_27,363.35,1129.23
2010,4,Provinsi_28,322.19,1277.46
2010,4,Provinsi_29,253.65,1194.05
2010,4,Provinsi_30,137.94,1097.56
2010,4,Provinsi_31,287.37,1075.22
2010,4,Provinsi_32,381.62,1056.99
2010,4,Provinsi_33,278,1213.07
2010,4,Provinsi_34,372.06,1056.41
2010,5,Provinsi_1,358.16,1201.02
2010,5,Provinsi_2,250.92,1246.21
2010,5,Provinsi_3,309.95,1139.98
2010,5,Provinsi_4,303.49,1161.47
2010,5,Provinsi_5,305.68,1266.21
2010,5,Provinsi_6,379.3,1076.22
2010,5,Provinsi_7,406.65,1004.79
2010,5,Provinsi_8,292.41,1258.83
2010,5,Provinsi_9,314.05,1137.73
2010,5,Provinsi_10,289.59,1150.7
2010,5,Provinsi_11,270.53,1284.96
2010,5,Provinsi_12,317.85,1130.71
2010,5,Provinsi_13,344.98,1230.73
2010,5,Provinsi_14,340.64,1262.96
2010,5,Provinsi_15,258.55,1143.98
2010,5,Provinsi_16,337.36,1261.04
2010,5,Provinsi_17,298.95,1211.73
2010,5,Provinsi_18,363.88,1140.84
2010,5,Provinsi_19,327.35,1179.78
2010,5,Provinsi_20,289.12,1309.88
2010,5,Provinsi_21,341.27,1281.35
2010,5,Provinsi_22,365.27,1202.1
2010,5,Provinsi_23,334.1,1168.97
2010,5,Provinsi_24,316.21,1186.99
2010,5,Provinsi_25,304.85,1259.52
2010,5,Provinsi_26,259.09,1409.24
2010,5,Provinsi_27,249.7,1078.58
2010,5,Provinsi_28,357.91,1279.17
2010,5,Provinsi_29,331.21,1262.83
2010,5,Provinsi_30,299.39,1110.27
2010,5,Provinsi_31,303.79,1132.28
2010,5,Provinsi_32,348.76,1185.29
2010,5,Provinsi_33,258.73,1167.86
2010,5,Provinsi_34,320.65,1143.63
2010,6,Provinsi_1,258.89,1224.37
2010,6,Provinsi_2,312.25,1149.31
2010,6,Provinsi_3,276.45,1223.2
2010,6,Provinsi_4,227.6,1059.25
2010,6,Provinsi_5,264.08,1178.66
2010,6,Provinsi_6,315.55,1347.54
2010,6,Provinsi_7,342.88,1184.01
2010,6,Provinsi_8,299.05,1099.75
2010,6,Provinsi_9,299.07,1171.13
2010,6,Provinsi_10,316.14,1117.28
2010,6,Provinsi_11,325.97,1353.27
2010,6,Provinsi_12,294.56,1240.17
2010,6,Provinsi_13,334.51,1159.88
2010,6,Provinsi_14,311.2,1201.26
2010,6,Provinsi_15,304.88,1122.7
2010,6,Provinsi_16,301.23,1249.8
2010,6,Provinsi_17,372.56,1295.93
2010,6,Provinsi_18,407.66,1123.27
2010,6,Provinsi_19,343.62,1218.33
2010,6,Provinsi_20,409.49,1119.17
2010,6,Provinsi_21,258.01,1140.06
2010,6,Provinsi_22,193.81,1147.42
2010,6,Provinsi_23,262.04,1215.04
2010,6,Provinsi_24,317.09,1387.62
2010,6,Provinsi_25,347.52,1142.31
2010,6,Provinsi_26,255.08,1249.19
2010,6,Provinsi_27,233.99,1383.15
2010,6,Provinsi_28,358.97,1153.08
2010,6,Provinsi_29,214.34,1335.39
2010,6,Provinsi_30,294.27,1323.78
2010,6,Provinsi_31,220.28,1140.06
2010,6,Provinsi_32,300.26,1204.7
2010,6,Provinsi_33,277.5,1262.28
2010,6,Provinsi_34,246.62,1185.76
2010,7,Provinsi_1,306.01,1251.44
2010,7,Provinsi_2,335.58,1087.54
2010,7,Provinsi_3,223.29,1327.77
2010,7,Provinsi_4,316.62,1125.15
2010,7,Provinsi_5,377.56,1211.57
2010,7,Provinsi_6,358.96,1206.75
2010,7,Provinsi_7,403.04,1375.53
2010,7,Provinsi_8,287.55,1297.16
2010,7,Provinsi_9,332.27,1336.86
2010,7,Provinsi_10,251.75,1268.61
2010,7,Provinsi_11,352.92,1024.13
2010,7,Provinsi_12,240.84,996.08
2010,7,Provinsi_13,286.53,1271.75
2010,7,Provinsi_14,375.12,1207.41
2010,7,Provinsi_15,381.43,1061.99
2010,7,Provinsi_16,214.83,1194.45
2010,7,Provinsi_17,319.2,1196.73
2010,7,Provinsi_18,196.63,1191.09
2010,7,Provinsi_19,234.78,1266.97
2010,7,Provinsi_20,318.33,1106.01
2010,7,Provinsi_21,274.31,1094.08
2010,7,Provinsi_22,296.87,1295.51
2010,7,Provinsi_23,250.71,1250.4
2010,7,Provinsi_24,273.49,1120.71
2010,7,Provinsi_25,294.65,1096.48
2010,7,Provinsi_26,272.32,1080.21
2010,7,Provinsi_27,398.24,1203.53
2010,7,Provinsi_28,265.01,1221.4
2010,7,Provinsi_29,294.38,1177.9
2010,7,Provinsi_30,330.71,1275.75
2010,7,Provinsi_31,273.47,1142.42
2010,7,Provinsi_32,286.25,969.81
2010,7,Provinsi_33,224.24,1336.69
2010,7,Provinsi_34,382.25,1175.1
2010,8,Provinsi_1,328.83,1231.13
2010,8,Provinsi_2,453.94,1311.96
2010,8,Provinsi_3,293.6,1104.45
2010,8,Provinsi_4,219.68,1220.35
2010,8,Provinsi_5,262.18,1057.77
2010,8,Provinsi_6,267.67,1091.85
2010,8,Provinsi_7,384.36,1288.16
2010,8,Provinsi_8,299.6,1347.99
2010,8,Provinsi_9,303.87,1113.87
2010,8,Provinsi_10,376.16,1253.89
2010,8,Provinsi_11,248.14,1180.97
2010,8,Provinsi_12,256.22,1061.72
2010,8,Provinsi_13,346.31,1390.94
2010,8,Provinsi_14,230.07,1256.3
2010,8,Provinsi_15,267.47,1151.29
2010,8,Provinsi_16,270.38,1113.6
2010,8,Provinsi_17,302.43,1116.9
2010,8,Provinsi_18,313.52,1194.98
2010,8,Provinsi_19,288.05,1109.24
2010,8,Provinsi_20,271.16,1275.54
2010,8,Provinsi_21,325.05,1102.24
2010,8,Provinsi_22,304.97,1275.14
2010,8,Provinsi_23,216.53,1254.34
2010,8,Provinsi_24,266.87,1257.06
2010,8,Provinsi_25,261.84,1019.51
2010,8,Provinsi_26,218.62,1204.81
2010,8,Provinsi_27,312.99,1109.57
2010,8,Provinsi_28,331.93,1033.85
2010,8,Provinsi_29,296.7,1078.9
2010,8,Provinsi_30,267.41,1204.74
2010,8,Provinsi_31,256.98,1161.54
2010,8,Provinsi_32,350.31,1142.31
2010,8,Provinsi_33,341.78,1087.03
2010,8,Provinsi_34,326.49,1344.16
2010,9,Provinsi_1,176.42,1120.31
2010,9,Provinsi_2,328.85,1179.7
2010,9,Provinsi_3,318.56,1139.6
2010,9,Provinsi_4,304.33,1184.43
2010,9,Provinsi_5,358.39,1225.44
2010,9,Provinsi_6,316.88,1158.81
2010,9,Provinsi_7,275.62,1156.74
2010,9,Provinsi_8,319.72,1157.9
2010,9,Provinsi_9,314.49,1407.54
2010,9,Provinsi_10,343.56,1167.4
2010,9,Provinsi_11,360.06,1159.19
2010,9,Provinsi_12,198.09,1099.19
2010,9,Provinsi_13,206.46,1164.85
2010,9,Provinsi_14,300.92,1367.64
2010,9,Provinsi_15,316.35,1178.09
2010,9,Provinsi_16,341.47,978.89
2010,9,Provinsi_17,311.78,1277.09
2010,9,Provinsi_18,226.07,1314.38
2010,9,Provinsi_19,316.92,1158.47
2010,9,Provinsi_20,331.64,1427.07
2010,9,Provinsi_21,309.09,1224.82
2010,9,Provinsi_22,277.03,1115.02
2010,9,Provinsi_23,341.52,1114.39
2010,9,Provinsi_24,303.58,1152.23
2010,9,Provinsi_25,323.95,1233.37
2010,9,Provinsi_26,351.88,1149
2010,9,Provinsi_27,286.51,1102.12
2010,9,Provinsi_28,277.79,1237.73
2010,9,Provinsi_29,337.85,1107.78
2010,9,Provinsi_30,343.48,1335.56
2010,9,Provinsi_31,320.67,1387.68
2010,9,Provinsi_32,261.31,1075.53
2010,9,Provinsi_33,211.06,1349.6
2010,9,Provinsi_34,332.72,1194.44
2010,10,Provinsi_1,314,1087.45
2010,10,Provinsi_2,422.29,1212.92
2010,10,Provinsi_3,305.47,1272.58
2010,10,Provinsi_4,324.05,1222.39
2010,10,Provinsi_5,260.48,1247.15
2010,10,Provinsi_6,394.1,1334.54
2010,10,Provinsi_7,379.66,1148.88
2010,10,Provinsi_8,250.52,1187.42
2010,10,Provinsi_9,302.79,1309.42
2010,10,Provinsi_10,215.38,1352.96
2010,10,Provinsi_11,292.1,1157.31
2010,10,Provinsi_12,249.39,1034.51
2010,10,Provinsi_13,341.16,1207.33
2010,10,Provinsi_14,235.5,1070.49
2010,10,Provinsi_15,283.21,1366.9
2010,10,Provinsi_16,287.02,1049.69
2010,10,Provinsi_17,287.71,1172.73
2010,10,Provinsi_18,165.16,1194.57
2010,10,Provinsi_19,288.45,1269.62
2010,10,Provinsi_20,392.45,1312.66
2010,10,Provinsi_21,286.56,1089.35
2010,10,Provinsi_22,428.67,1205.92
2010,10,Provinsi_23,300.7,1197.59
2010,10,Provinsi_24,309.9,1185.56
2010,10,Provinsi_25,271.32,1145.31
2010,10,Provinsi_26,298.36,1145.66
2010,10,Provinsi_27,264.36,1210.64
2010,10,Provinsi_28,287.25,1350.4
2010,10,Provinsi_29,167.45,1309.15
2010,10,Provinsi_30,362.3,992.66
2010,10,Provinsi_31,282.87,1162.86
2010,10,Provinsi_32,229.62,1122.22
2010,10,Provinsi_33,244.47,1375.23
2010,10,Provinsi_34,346.78,1327.16
2010,11,Provinsi_1,336.08,1087.09
2010,11,Provinsi_2,273.77,1248.94
2010,11,Provinsi_3,238.89,1271.3
2010,11,Provinsi_4,287.98,1162.52
2010,11,Provinsi_5,335.55,1244.43
2010,11,Provinsi_6,281.95,1315.93
2010,11,Provinsi_7,245.95,1261.59
2010,11,Provinsi_8,329.66,1169.05
2010,11,Provinsi_9,316.31,1074.89
2010,11,Provinsi_10,346.2,1181.51
2010,11,Provinsi_11,273.86,1304.9
2010,11,Provinsi_12,264.78,1059.15
2010,11,Provinsi_13,222.17,1260.6
2010,11,Provinsi_14,235.98,1375.48
2010,11,Provinsi_15,195.9,1369.65
2010,11,Provinsi_16,310.55,1190.33
2010,11,Provinsi_17,272.75,1239.91
2010,11,Provinsi_18,298.12,1310.33
2010,11,Provinsi_19,305.71,1215.03
2010,11,Provinsi_20,281.82,1194.31
2010,11,Provinsi_21,315.39,1028.98
2010,11,Provinsi_22,232.59,1274.33
2010,11,Provinsi_23,308.54,1181.6
2010,11,Provinsi_24,300.92,1234.76
2010,11,Provinsi_25,273.01,1122.17
2010,11,Provinsi_26,309.79,1102.16
2010,11,Provinsi_27,320.41,1029.74
2010,11,Provinsi_28,351.46,1247.26
2010,11,Provinsi_29,312.8,1298.27
2010,11,Provinsi_30,383.27,1301.44
2010,11,Provinsi_31,207.96,1072.04
2010,11,Provinsi_32,268.76,1202.61
2010,11,Provinsi_33,325.88,1127.43
2010,11,Provinsi_34,309.34,1124.46
2010,12,Provinsi_1,269.42,1059.33
2010,12,Provinsi_2,253.84,1064.83
2010,12,Provinsi_3,251.21,1305.36
2010,12,Provinsi_4,252.53,1463.24
2010,12,Provinsi_5,324.67,1218.48
2010,12,Provinsi_6,257.08,1270.03
2010,12,Provinsi_7,271.22,1212.2
2010,12,Provinsi_8,428,1190.39
2010,12,Provinsi_9,357.46,1129.68
2010,12,Provinsi_10,298.25,1377.08
2010,12,Provinsi_11,268.65,1381.24
2010,12,Provinsi_12,335.39,1143.75
2010,12,Provinsi_13,331.62,1297.26
2010,12,Provinsi_14,331.09,1042.98
2010,12,Provinsi_15,263.64,1175.25
2010,12,Provinsi_16,296.28,1262.07
2010,12,Provinsi_17,308.89,1066.47
2010,12,Provinsi_18,319.01,1261.06
2010,12,Provinsi_19,327.99,1308.08
2010,12,Provinsi_20,341.7,1245.92
2010,12,Provinsi_21,296.49,1033.9
2010,12,Provinsi_22,321.48,1220.77
2010,12,Provinsi_23,313.58,1072.33
2010,12,Provinsi_24,245.95,1305.32
2010,12,Provinsi_25,298.02,1268.15
2010,12,Provinsi_26,301.42,1202.98
2010,12,Provinsi_27,346.91,1148.4
2010,12,Provinsi_28,304.81,1153.77
2010,12,Provinsi_29,278.28,1169.08
2010,12,Provinsi_30,311.11,1152.13
2010,12,Provinsi_31,362.79,1110.54
2010,12,Provinsi_32,290.66,1156.03
2010,12,Provinsi_33,372.35,1219.66
2010,12,Provinsi_34,351.59,1051.44
2011,1,Provinsi_1,313.35,1288.96
2011,1,Provinsi_2,304.11,1306.55
2011,1,Provinsi_3,274.14,1340.93
2011,1,Provinsi_4,414.94,1163.72
2011,1,Provinsi_5,277.72,1345.34
2011,1,Provinsi_6,378.98,1147.71
2011,1,Provinsi_7,278.99,1171.82
2011,1,Provinsi_8,232.78,1108.13
2011,1,Provinsi_9,249.79,1123.22
2011,1,Provinsi_10,298.27,1223.42
2011,1,Provinsi_11,377.53,1100.16
2011,1,Provinsi_12,349.22,1178.6
2011,1,Provinsi_13,297.53,1267.48
2011,1,Provinsi_14,243.86,1238.24
2011,1,Provinsi_15,308.32,1249.25
2011,1,Provinsi_16,314.46,1445.53
2011,1,Provinsi_17,268.11,1146.9
2011,1,Provinsi_18,268.84,1144.45
2011,1,Provinsi_19,268.13,1318.9
2011,1,Provinsi_20,371.03,1142.93
2011,1,Provinsi_21,258.38,1247.14
2011,1,Provinsi_22,272.39,1263.29
2011,1,Provinsi_23,310.15,1048.43
2011,1,Provinsi_24,377.38,1379.59
2011,1,Provinsi_25,269.36,1161.23
2011,1,Provinsi_26,314.29,1233.45
2011,1,Provinsi_27,332.93,1401.02
2011,1,Provinsi_28,291.15,1120.17
2011,1,Provinsi_29,231.03,1126.91
2011,1,Provinsi_30,298.34,1379.46
2011,1,Provinsi_31,274.12,1222.38
2011,1,Provinsi_32,299.18,1318.84
2011,1,Provinsi_33,426.35,1146.91
2011,1,Provinsi_34,275.53,1304.42
2011,2,Provinsi_1,334.09,1384.67
2011,2,Provinsi_2,329.2,1164.07
2011,2,Provinsi_3,329.53,1310.87
2011,2,Provinsi_4,341.02,1250.73
2011,2,Provinsi_5,353.33,1316.93
2011,2,Provinsi_6,369.11,1264.87
2011,2,Provinsi_7,291.64,1214.67
2011,2,Provinsi_8,360.33,1118.31
2011,2,Provinsi_9,318.43,1160.67
2011,2,Provinsi_10,301.44,1327.85
2011,2,Provinsi_11,309.55,1204.64
2011,2,Provinsi_12,232.01,1274.63
2011,2,Provinsi_13,332.27,1416.33
2011,2,Provinsi_14,284.61,1221.92
2011,2,Provinsi_15,312.47,1357.75
2011,2,Provinsi_16,295.24,1227.9
2011,2,Provinsi_17,330.39,1218.66
2011,2,Provinsi_18,277.68,1219.41
2011,2,Provinsi_19,353.68,1097.35
2011,2,Provinsi_20,306.65,1129.99
2011,2,Provinsi_21,359.75,1047.68
2011,2,Provinsi_22,272.05,1237.72
2011,2,Provinsi_23,378.28,1193.42
2011,2,Provinsi_24,272.24,1388.12
2011,2,Provinsi_25,227.6,980.12
2011,2,Provinsi_26,322,1149.79
2011,2,Provinsi_27,248.94,1270.84
2011,2,Provinsi_28,312.19,1143.59
2011,2,Provinsi_29,235.98,1287.25
2011,2,Provinsi_30,332.51,1190.08
2011,2,Provinsi_31,392.33,1092.99
2011,2,Provinsi_32,223.72,1130.81
2011,2,Provinsi_33,297.72,1224.33
2011,2,Provinsi_34,287.94,1235.21
2011,3,Provinsi_1,237.42,1344.38
2011,3,Provinsi_2,295.89,1311.73
2011,3,Provinsi_3,317.14,1245.68
2011,3,Provinsi_4,328.49,1244.77
2011,3,Provinsi_5,332.14,1332.92
2011,3,Provinsi_6,309.83,1270.9
2011,3,Provinsi_7,295.51,1344.01
2011,3,Provinsi_8,266.18,1380.09
2011,3,Provinsi_9,297.99,1056.92
2011,3,Provinsi_10,306.41,1131.89
2011,3,Provinsi_11,342.03,1134.74
2011,3,Provinsi_12,277.69,1011.05
2011,3,Provinsi_13,277.38,957.61
2011,3,Provinsi_14,220.8,1276.04
2011,3,Provinsi_15,339.29,1242.55
2011,3,Provinsi_16,251.65,1195.23
2011,3,Provinsi_17,299.82,1084.16
2011,3,Provinsi_18,375.17,1287.74
2011,3,Provinsi_19,288.95,1202.69
2011,3,Provinsi_20,310.42,995.83
2011,3,Provinsi_21,287.64,1131.8
2011,3,Provinsi_22,249.92,1171.89
2011,3,Provinsi_23,389.88,1264.08
2011,3,Provinsi_24,271.44,1257.26
2011,3,Provinsi_25,369.97,1292.46
2011,3,Provinsi_26,302.98,1135.31
2011,3,Provinsi_27,334.91,1239.35
2011,3,Provinsi_28,344.76,1263.52
2011,3,Provinsi_29,352.48,1146.48
2011,3,Provinsi_30,365.87,1219.76
2011,3,Provinsi_31,403.76,1131.08
2011,3,Provinsi_32,386.8,1219.79
2011,3,Provinsi_33,267.43,1151.61
2011,3,Provinsi_34,283.98,1242.42
2011,4,Provinsi_1,326.14,1142.63
2011,4,Provinsi_2,298.78,1414.23
2011,4,Provinsi_3,386.38,1243.63
2011,4,Provinsi_4,301.9,1212
2011,4,Provinsi_5,330.68,1097.72
2011,4,Provinsi_6,287.13,1033.14
2011,4,Provinsi_7,319.96,1264.72
2011,4,Provinsi_8,275.84,1357.4
2011,4,Provinsi_9,238.71,1053.56
2011,4,Provinsi_10,311.22,1304.71
2011,4,Provinsi_11,384.2,1154.11
2011,4,Provinsi_12,353.93,1196.15
2011,4,Provinsi_13,291.37,1288.37
2011,4,Provinsi_14,332.62,1042.36
2011,4,Provinsi_15,373.83,1338.01
2011,4,Provinsi_16,268.72,1239.58
2011,4,Provinsi_17,324.7,1226.07
2011,4,Provinsi_18,272.48,1132.84
2011,4,Provinsi_19,298.72,1317.27
2011,4,Provinsi_20,327.18,1162.94
2011,4,Provinsi_21,338.58,915.15
2011,4,Provinsi_22,357.44,1026.03
2011,4,Provinsi_23,281.88,1088.03
2011,4,Provinsi_24,235.27,1316.08
2011,4,Provinsi_25,276.61,1234.65
2011,4,Provinsi_26,297.65,1247.7
2011,4,Provinsi_27,303.84,1071.7
2011,4,Provinsi_28,349.81,1150.62
2011,4,Provinsi_29,222.17,1157.19
2011,4,Provinsi_30,375.04,1285.02
2011,4,Provinsi_31,282.57,1165.07
2011,4,Provinsi_32,283.92,1407.67
2011,4,Provinsi_33,319.1,1243
2011,4,Provinsi_34,351.51,1223.88
2011,5,Provinsi_1,287.05,1180.37
2011,5,Provinsi_2,296.42,1196.28
2011,5,Provinsi_3,336.38,1205.19
2011,5,Provinsi_4,336.63,1191.93
2011,5,Provinsi_5,303.93,1000.18
2011,5,Provinsi_6,345.82,1234.65
2011,5,Provinsi_7,349.9,910.37
2011,5,Provinsi_8,404.42,1186.04
2011,5,Provinsi_9,355.41,1096.01
2011,5,Provinsi_10,330.64,1094.66
2011,5,Provinsi_11,268.81,1391.4
2011,5,Provinsi_12,290.47,1221.74
2011,5,Provinsi_13,343.5,1249.57
2011,5,Provinsi_14,307.52,1236.5
2011,5,Provinsi_15,420.17,1194.24
2011,5,Provinsi_16,310.05,1305.07
2011,5,Provinsi_17,355.28,1318.7
2011,5,Provinsi_18,331.94,1085.7
2011,5,Provinsi_19,381.67,1085.37
2011,5,Provinsi_20,315.13,1124.57
2011,5,Provinsi_21,296.79,1232.88
2011,5,Provinsi_22,316.07,1242.19
2011,5,Provinsi_23,380.69,1245.35
2011,5,Provinsi_24,287.79,1296.41
2011,5,Provinsi_25,359.47,1077.24
2011,5,Provinsi_26,329.87,1270.12
2011,5,Provinsi_27,285.12,1337.57
2011,5,Provinsi_28,292.5,1212.56
2011,5,Provinsi_29,291.35,1201.56
2011,5,Provinsi_30,245.19,1055.99
2011,5,Provinsi_31,379.73,1115.3
2011,5,Provinsi_32,250.43,984.66
2011,5,Provinsi_33,268.05,1067.69
2011,5,Provinsi_34,382.1,1300.98
2011,6,Provinsi_1,265.59,1425.24
2011,6,Provinsi_2,349.09,1167.52
2011,6,Provinsi_3,175.03,1429.09
2011,6,Provinsi_4,230.52,1035.46
2011,6,Provinsi_5,351.13,1443.98
2011,6,Provinsi_6,369.21,1256.39
2011,6,Provinsi_7,329.74,1285.34
2011,6,Provinsi_8,337.95,1228.12
2011,6,Provinsi_9,305.21,1193.74
2011,6,Provinsi_10,262.3,1171.93
2011,6,Provinsi_11,215.35,1190.17
2011,6,Provinsi_12,250.57,1089.64
2011,6,Provinsi_13,308.99,1339.2
2011,6,Provinsi_14,345.92,1042.95
2011,6,Provinsi_15,250.52,1294.08
2011,6,Provinsi_16,250.88,1177.54
2011,6,Provinsi_17,327.5,1103.17
2011,6,Provinsi_18,305.27,1066.6
2011,6,Provinsi_19,269.93,1231.98
2011,6,Provinsi_20,220.35,1244.05
2011,6,Provinsi_21,299.02,1255.25
2011,6,Provinsi_22,311.2,1336.41
2011,6,Provinsi_23,306.26,1157.06
2011,6,Provinsi_24,306.11,1254.33
2011,6,Provinsi_25,302.44,1204.06
2011,6,Provinsi_26,264.9,1133.71
2011,6,Provinsi_27,229.87,1374.96
2011,6,Provinsi_28,237.81,1130.71
2011,6,Provinsi_29,264.08,1289.49
2011,6,Provinsi_30,285.25,1324.77
2011,6,Provinsi_31,266.33,1227.9
2011,6,Provinsi_32,258.23,1414.51
2011,6,Provinsi_33,240.62,1230.98
2011,6,Provinsi_34,331.69,1241.38
2011,7,Provinsi_1,290.74,1187.02
2011,7,Provinsi_2,302.19,1185.3
2011,7,Provinsi_3,348.19,1421.05
2011,7,Provinsi_4,272.13,1063.02
2011,7,Provinsi_5,295.59,1457.97
2011,7,Provinsi_6,259.82,1363.91
2011,7,Provinsi_7,383.89,1144.64
2011,7,Provinsi_8,328.45,1362.84
2011,7,Provinsi_9,281.04,1179.64
2011,7,Provinsi_10,270.92,1098.52
2011,7,Provinsi_11,267.54,1077.61
2011,7,Provinsi_12,301.7,1123
2011,7,Provinsi_13,311.69,1044.41
2011,7,Provinsi_14,316.54,1283.35
2011,7,Provinsi_15,200.31,1237.41
2011,7,Provinsi_16,361.38,1079.04
2011,7,Provinsi_17,383.63,1241.9
2011,7,Provinsi_18,264.75,1194.42
2011,7,Provinsi_19,327.92,1207.6
2011,7,Provinsi_20,326.94,1107.93
